period,analyst,composite_rank,mape,bias,num_predictions,buy_accuracy_0.25,buy_accuracy_0.5,buy_accuracy_0.75,sell_accuracy_0.25,sell_accuracy_0.5,sell_accuracy_0.75
6m,Citigroup,21.33,28.39,28.39,1,0.00,0.00,0.00,N/A,N/A,
6m,Odeon Capital,21.33,18.55,-18.55,1,100.00,100.00,100.00,N/A,N/A,
6m,Goldman Sachs,22.00,23.56,6.12,4,33.33,33.33,33.33,0.00,0.00,0.00
6m,JP Morgan,22.67,16.06,12.74,3,66.67,66.67,33.33,N/A,N/A,
6m,Susquehanna,23.67,14.74,14.11,3,66.67,66.67,33.33,N/A,N/A,
6m,Oppenheimer,24.33,17.89,17.89,2,50.00,50.00,0.00,N/A,N/A,
6m,Rosenblatt,24.67,42.43,42.43,1,0.00,0.00,0.00,N/A,N/A,
6m,Northcoast Research,25.33,28.60,-28.60,1,N/A,N/A,N/A,0.00,0.00,0.00
6m,Jefferies,26.00,28.38,28.38,2,0.00,0.00,0.00,N/A,N/A,
6m,Northland Capital Markets,27.00,40.86,40.86,1,0.00,0.00,0.00,N/A,N/A,
6m,Wedbush,27.33,21.34,21.34,2,50.00,50.00,0.00,N/A,N/A,
6m,Guggenheim,27.33,45.55,45.55,1,0.00,0.00,0.00,N/A,N/A,
6m,Argus Research,29.67,26.22,26.22,2,50.00,50.00,50.00,N/A,N/A,
6m,Mizuho,29.67,30.10,30.10,2,0.00,0.00,0.00,N/A,N/A,
6m,CFRA,29.67,67.79,67.79,1,0.00,0.00,0.00,N/A,N/A,
